Category: All categories,,,
,,,
Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,22%,66%,12%
Alabama,24%,64%,12%
Kentucky,23%,63%,14%
Tennessee,22%,65%,13%
Indiana,24%,62%,14%
Utah,21%,66%,13%
Georgia,24%,62%,14%
Maryland,25%,60%,15%
Illinois,23%,63%,14%
North Carolina,22%,66%,12%
West Virginia,23%,65%,12%
Ohio,22%,65%,13%
Pennsylvania,23%,62%,15%
Texas,20%,67%,13%
Arkansas,21%,66%,13%
Nevada,20%,67%,13%
Idaho,20%,67%,13%
Virginia,23%,63%,14%
Connecticut,22%,64%,14%
Delaware,23%,64%,13%
Mississippi,21%,67%,12%
Michigan,21%,67%,12%
Missouri,19%,68%,13%
Florida,23%,63%,14%
Kansas,20%,66%,14%
New Jersey,21%,63%,16%
Rhode Island,23%,63%,14%
Oklahoma,18%,71%,11%
Wisconsin,20%,66%,14%
Minnesota,19%,68%,13%
Louisiana,21%,66%,13%
Arizona,19%,67%,14%
Iowa,19%,68%,13%
California,21%,63%,16%
North Dakota,19%,69%,12%
New York,21%,63%,16%
Nebraska,18%,70%,12%
New Mexico,19%,67%,14%
Oregon,18%,69%,13%
Massachusetts,21%,62%,17%
Washington,18%,68%,14%
New Hampshire,20%,67%,13%
Colorado,17%,68%,15%
South Dakota,14%,75%,11%
Maine,19%,68%,13%
Wyoming,17%,69%,14%
Vermont,16%,70%,14%
Montana,15%,73%,12%
Hawaii,14%,73%,13%
Alaska,15%,72%,13%
District of Columbia,17%,66%,17%
