OrderID,ProductName,UnitPrice,Quantity
10248,"Queso Cabrales",14.0000,12
10248,"Singaporean Hokkien Fried Mee",9.8000,10
10248,"Mozzarella di Giovanni",34.8000,5
10249,"Manjimup Dried Apples",42.4000,40
10249,Tofu,18.6000,9
10250,"Manjimup Dried Apples",42.4000,35
10250,"Louisiana Fiery Hot Pepper Sauce",16.8000,15
10250,"Jack's New England Clam Chowder",7.7000,10
10251,"Louisiana Fiery Hot Pepper Sauce",16.8000,20
10251,"Ravioli Angelo",15.6000,15
10251,"Gustaf's Knckebrd",16.8000,6
10252,"Sir Rodney's Marmalade",64.8000,40
10252,"Camembert Pierrot",27.2000,40
10252,Geitost,2.0000,25
10253,"Chartreuse verte",14.4000,42
10253,Maxilaku,16.0000,40
10253,"Gorgonzola Telino",10.0000,20
10254,"Pt chinois",19.2000,21
10254,"Longlife Tofu",8.0000,21
10254,"Guaran Fantstica",3.6000,15
10255,Pavlova,13.9000,35
10255,"Raclette Courdavault",44.0000,30
10255,"Inlagd Sill",15.2000,25
10255,Chang,15.2000,20
10256,"Perth Pasties",26.2000,15
10256,"Original Frankfurter grne Soe",10.4000,12
10257,"Schoggi Schokolade",35.1000,25
10257,"Original Frankfurter grne Soe",10.4000,15
10257,"Chartreuse verte",14.4000,6
10258,"Chef Anton's Gumbo Mix",17.0000,65
10258,Chang,15.2000,50
10258,"Mascarpone Fabioli",25.6000,6
10259,"Sir Rodney's Scones",8.0000,10
10259,"Gravad lax",20.8000,1
10260,"Ravioli Angelo",15.6000,50
10260,"Outback Lager",12.0000,21
10260,"Jack's New England Clam Chowder",7.7000,16
10260,"Tarte au sucre",39.4000,15
10261,"Sir Rodney's Scones",8.0000,20
10261,"Steeleye Stout",14.4000,20
10262,"Uncle Bob's Organic Dried Pears",24.0000,15
10262,"Chef Anton's Gumbo Mix",17.0000,12
10262,"Gnocchi di nonna Alice",30.4000,2
10263,Pavlova,13.9000,60
10263,"Nord-Ost Matjeshering",20.7000,60
10263,"Longlife Tofu",8.0000,36
10263,"Guaran Fantstica",3.6000,28
10264,Chang,15.2000,35
10264,"Jack's New England Clam Chowder",7.7000,25
10265,"Alice Mutton",31.2000,30
10265,"Outback Lager",12.0000,20
10266,"Queso Manchego La Pastora",30.4000,12
10267,"Raclette Courdavault",44.0000,70
10267,"Boston Crab Meat",14.7000,50
10267,Lakkalikri,14.4000,15
10268,"Thringer Rostbratwurst",99.0000,10
10268,"Mozzarella di Giovanni",27.8000,4
10269,Geitost,2.0000,60
10269,"Mozzarella di Giovanni",27.8000,20
10270,"Inlagd Sill",15.2000,30
10270,"Ipoh Coffee",36.8000,25
10271,Geitost,2.0000,24
10272,"Gorgonzola Telino",10.0000,40
10272,"Mozzarella di Giovanni",27.8000,24
